epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.837423,0,7.57279,0,0,0,0,0,0,9.66406,0,0.00022,0.00022,0.00022
2,1.43102,0,7.55399,0,0,0,0,0,0,9.73177,0,0.000450892,0.000450892,0.000450892
3,2.0572,0,7.42632,0,0,0,0,0,0,9.73177,0,0.00067228,0.00067228,0.00067228
4,2.6847,0,7.4345,0,0,0,0,0,0,9.73177,0,0.000884164,0.000884164,0.000884164
5,3.32451,0,7.42423,0,0,0,0,0,0,9.59766,0,0.00108654,0.00108654,0.00108654
6,3.93305,0,7.12084,0,0,0,0,0,0,9.59766,0,0.00127942,0.00127942,0.00127942
7,4.55196,0,7.11436,0,0,0,0,0,0,9.59766,0,0.00146279,0.00146279,0.00146279
8,5.1595,0,7.11769,0,0,0,0,0,0,9.59766,0,0.00163666,0.00163666,0.00163666
9,5.77058,0,7.11666,0,0,0,0,0,0,9.59766,0,0.0016832,0.0016832,0.0016832
10,6.38009,0,7.11283,0,0,0,0,0,0,9.59766,0,0.0016436,0.0016436,0.0016436
11,7.02661,0,6.99325,0,0,0,0,0,0,40.5052,0,0.001604,0.001604,0.001604
12,7.64012,0,6.92495,0,0,0,0,0,0,40.5052,0,0.0015644,0.0015644,0.0015644
13,8.25919,0,6.92876,0,0,0,0,0,0,40.5052,0,0.0015248,0.0015248,0.0015248
14,8.87439,0,6.93554,0,0,0,0,0,0,40.5052,0,0.0014852,0.0014852,0.0014852
15,9.49075,0,6.92733,0,0,0,0,0,0,40.5052,0,0.0014456,0.0014456,0.0014456
16,10.1251,0,6.79802,0,0,0,0,0,0,12.6146,0,0.001406,0.001406,0.001406
17,10.7272,0,6.53029,0,0,0,0,0,0,12.6146,0,0.0013664,0.0013664,0.0013664
18,11.3356,0,6.52587,0,0,0,0,0,0,12.6146,0,0.0013268,0.0013268,0.0013268
19,11.9513,0,6.53689,0,0,0,0,0,0,12.6146,0,0.0012872,0.0012872,0.0012872
20,12.5686,0,6.52851,0,0,0,0,0,0,12.6146,0,0.0012476,0.0012476,0.0012476
21,13.2014,0,6.52466,0,0,0,0,0,0,6.89258,0,0.001208,0.001208,0.001208
22,13.8284,0,6.17469,0,0,0,0,0,0,6.89258,0,0.0011684,0.0011684,0.0011684
23,14.4295,0,6.18014,0,0,0,0,0,0,6.89258,0,0.0011288,0.0011288,0.0011288
24,15.0532,0,6.17637,0,0,0,0,0,0,6.89258,0,0.0010892,0.0010892,0.0010892
25,15.6624,0,6.18247,0,0,0,0,0,0,6.89258,0,0.0010496,0.0010496,0.0010496
26,16.3102,0,6.18267,0,0,0,0,0,0,6.89258,0,0.00101,0.00101,0.00101
27,16.939,0,5.98891,0,0,0,0,0,0,5.76628,0,0.0009704,0.0009704,0.0009704
28,17.5511,0,5.89626,0,0,0,0,0,0,5.76628,0,0.0009308,0.0009308,0.0009308
29,18.1775,0,5.90063,0,0,0,0,0,0,5.76628,0,0.0008912,0.0008912,0.0008912
30,18.7936,0,5.9014,0,0,0,0,0,0,5.76628,0,0.0008516,0.0008516,0.0008516
31,19.4262,0,5.89627,0,0,0,0,0,0,5.76628,0,0.000812,0.000812,0.000812
32,20.0548,0,5.82631,0,0,0,0,0,0,5.59049,0,0.0007724,0.0007724,0.0007724
33,20.67,0,5.69194,0,0,0,0,0,0,5.59049,0,0.0007328,0.0007328,0.0007328
34,21.2898,0,5.68919,0,0,0,0,0,0,5.59049,0,0.0006932,0.0006932,0.0006932
35,21.9137,0,5.6886,0,0,0,0,0,0,5.59049,0,0.0006536,0.0006536,0.0006536
36,22.5565,0,5.68783,0,0,0,0,0,0,5.59049,0,0.000614,0.000614,0.000614
37,23.1999,0,5.69109,0,0,0,0,0,0,5.77799,0,0.0005744,0.0005744,0.0005744
38,23.828,0,5.52016,0,0,0,0,0,0,5.77799,0,0.0005348,0.0005348,0.0005348
39,24.4398,0,5.52677,0,0,0,0,0,0,5.77799,0,0.0004952,0.0004952,0.0004952
40,25.0763,0,5.52204,0,0,0,0,0,0,5.77799,0,0.0004556,0.0004556,0.0004556
41,25.7723,0,5.51316,0,0,0,0,0,0,5.77799,0,0.000416,0.000416,0.000416
42,26.4296,0,5.5158,0,0,0,0,0,0,5.77799,0,0.0003764,0.0003764,0.0003764
43,27.0659,0,5.45206,0,0,0,0,0,0,6.86198,0,0.0003368,0.0003368,0.0003368
44,27.6873,0,5.42693,0,0,0,0,0,0,6.86198,0,0.0002972,0.0002972,0.0002972
45,28.3106,0,5.41939,0,0,0,0,0,0,6.86198,0,0.0002576,0.0002576,0.0002576
46,28.9388,0,5.41887,0,0,0,0,0,0,6.86198,0,0.000218,0.000218,0.000218
47,29.565,0,5.41731,0,0,0,0,0,0,6.86198,0,0.0001784,0.0001784,0.0001784
48,30.2152,0,5.4093,0,0,0,0,0,0,7.4668,0,0.0001388,0.0001388,0.0001388
49,30.8492,0,5.37793,0,0,0,0,0,0,7.4668,0,9.92e-05,9.92e-05,9.92e-05
50,31.4824,0,5.37759,0,0,0,0,0,0,7.4668,0,5.96e-05,5.96e-05,5.96e-05
