epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.573761,0,90.9123,0,0,0,0,0,0,72.375,0,0,0,0
2,1.06781,0,91.0326,0,0,0,0,0,0,72.375,0,1.9604e-05,1.9604e-05,1.9604e-05
3,1.56782,0,90.7347,0,0,0,0,0,0,72.375,0,3.8416e-05,3.8416e-05,3.8416e-05
4,1.99341,0,90.7241,0,0,0,0,0,0,72.375,0,5.6436e-05,5.6436e-05,5.6436e-05
5,2.44796,0,90.8933,0,0,0,0,0,0,72.375,0,7.3664e-05,7.3664e-05,7.3664e-05
6,2.89808,0,90.882,0,0,0,0,0,0,72.375,0,9.01e-05,9.01e-05,9.01e-05
7,3.36286,0,90.8607,0,0,0,0,0,0,72.375,0,0.000105744,0.000105744,0.000105744
8,3.81615,0,91.0001,0,0,0,0,0,0,72.375,0,0.000120596,0.000120596,0.000120596
9,4.26564,0,90.9262,0,0,0,0,0,0,72.375,0,0.000134656,0.000134656,0.000134656
10,4.74963,0,90.9658,0,0,0,0,0,0,72.375,0,0.000147924,0.000147924,0.000147924
11,5.31461,0,88.7228,0,0,0,0,0,0,72.375,0,0.0001604,0.0001604,0.0001604
12,5.84749,0,87.7602,0,0,0,0,0,0,72.375,0,0.000172084,0.000172084,0.000172084
13,6.38105,0,86.794,0,0,0,0,0,0,72.375,0,0.000182976,0.000182976,0.000182976
14,6.90127,0,85.7638,0,0,0,0,0,0,72.375,0,0.000193076,0.000193076,0.000193076
15,7.43097,0,84.5886,0,0,0,0,0,0,72.375,0,0.000202384,0.000202384,0.000202384
16,7.94958,0,83.3879,0,0,0,0,0,0,72.375,0,0.0002109,0.0002109,0.0002109
17,8.46978,0,82.0753,0,0,0,0,0,0,72.375,0,0.000218624,0.000218624,0.000218624
18,8.99302,0,80.4814,0,0,0,0,0,0,72.375,0,0.000225556,0.000225556,0.000225556
19,9.58436,0,80.5246,0,0,0,0,0,0,72.5,0,0.000231696,0.000231696,0.000231696
20,10.0976,0,79.1534,0,0,0,0,0,0,72.5,0,0.000237044,0.000237044,0.000237044
21,10.6177,0,79.1814,0,0,0,0,0,0,72.8125,0,0.0002416,0.0002416,0.0002416
22,11.1476,0,77.4299,0,0,0,0,0,0,72.8125,0,0.000245364,0.000245364,0.000245364
23,11.6697,0,77.5324,0,0,0,0,0,0,73,0,0.000248336,0.000248336,0.000248336
24,12.1941,0,75.7142,0,0,0,0,0,0,73,0,0.000250516,0.000250516,0.000250516
25,12.7181,0,75.8355,0,0,0,0,0,0,72.6875,0,0.000251904,0.000251904,0.000251904
26,13.2364,0,74.2234,0,0,0,0,0,0,72.6875,0,0.0002525,0.0002525,0.0002525
27,13.7696,0,74.5314,0,0,0,0,0,0,72.6875,0,0.000252304,0.000252304,0.000252304
