epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.364779,0,90.9123,0,0,0,0,0,0,72.375,0,0,0,0
2,0.784604,0,91.0326,0,0,0,0,0,0,72.375,0,1.9604e-05,1.9604e-05,1.9604e-05
3,1.20781,0,90.7347,0,0,0,0,0,0,72.375,0,3.8416e-05,3.8416e-05,3.8416e-05
4,1.58356,0,90.7241,0,0,0,0,0,0,72.375,0,5.6436e-05,5.6436e-05,5.6436e-05
5,1.92254,0,90.8933,0,0,0,0,0,0,72.375,0,7.3664e-05,7.3664e-05,7.3664e-05
6,2.28154,0,90.882,0,0,0,0,0,0,72.375,0,9.01e-05,9.01e-05,9.01e-05
7,2.61307,0,90.8607,0,0,0,0,0,0,72.375,0,0.000105744,0.000105744,0.000105744
8,2.9575,0,91.0001,0,0,0,0,0,0,72.375,0,0.000120596,0.000120596,0.000120596
9,3.28903,0,90.9262,0,0,0,0,0,0,72.375,0,0.000134656,0.000134656,0.000134656
10,3.64375,0,90.9658,0,0,0,0,0,0,72.375,0,0.000147924,0.000147924,0.000147924
11,4.05223,0,88.7228,0,0,0,0,0,0,72.375,0,0.0001604,0.0001604,0.0001604
12,4.4468,0,87.7602,0,0,0,0,0,0,72.375,0,0.000172084,0.000172084,0.000172084
13,4.85605,0,86.794,0,0,0,0,0,0,72.375,0,0.000182976,0.000182976,0.000182976
14,5.25004,0,85.7638,0,0,0,0,0,0,72.375,0,0.000193076,0.000193076,0.000193076
15,5.66564,0,84.5886,0,0,0,0,0,0,72.375,0,0.000202384,0.000202384,0.000202384
16,6.06114,0,83.3879,0,0,0,0,0,0,72.375,0,0.0002109,0.0002109,0.0002109
17,6.47144,0,82.0753,0,0,0,0,0,0,72.375,0,0.000218624,0.000218624,0.000218624
18,6.8702,0,80.4814,0,0,0,0,0,0,72.375,0,0.000225556,0.000225556,0.000225556
19,7.27258,0,80.5246,0,0,0,0,0,0,72.5,0,0.000231696,0.000231696,0.000231696
20,7.66072,0,79.1534,0,0,0,0,0,0,72.5,0,0.000237044,0.000237044,0.000237044
21,8.06236,0,79.1814,0,0,0,0,0,0,72.8125,0,0.0002416,0.0002416,0.0002416
22,8.45434,0,77.4299,0,0,0,0,0,0,72.8125,0,0.000245364,0.000245364,0.000245364
23,8.8527,0,77.5324,0,0,0,0,0,0,73,0,0.000248336,0.000248336,0.000248336
24,9.23917,0,75.7142,0,0,0,0,0,0,73,0,0.000250516,0.000250516,0.000250516
25,9.65406,0,75.8355,0,0,0,0,0,0,72.6875,0,0.000251904,0.000251904,0.000251904
26,10.0461,0,74.2234,0,0,0,0,0,0,72.6875,0,0.0002525,0.0002525,0.0002525
27,10.4451,0,74.5314,0,0,0,0,0,0,72.6875,0,0.000252304,0.000252304,0.000252304
28,10.839,0,72.7102,0,0,0,0,0,0,72.6875,0,0.000251316,0.000251316,0.000251316
29,11.236,0,72.8944,0,0,0,0,0,0,72.8125,0,0.000249536,0.000249536,0.000249536
30,11.6499,0,71.3617,0,0,0,0,0,0,72.8125,0,0.000246964,0.000246964,0.000246964
31,12.0473,0,71.5091,0,0,0,0,0,0,73.3125,0,0.0002436,0.0002436,0.0002436
32,12.4637,0,70.273,0,0,0,0,0,0,73.3125,0,0.000239444,0.000239444,0.000239444
33,12.8751,0,70.1672,0,0,0,0,0,0,72.75,0,0.000234496,0.000234496,0.000234496
34,13.279,0,68.8953,0,0,0,0,0,0,72.75,0,0.000228756,0.000228756,0.000228756
35,13.6753,0,68.9988,0,0,0,0,0,0,71.8125,0,0.000222224,0.000222224,0.000222224
36,14.0697,0,69.6156,0,0,0,0,0,0,71.8125,0,0.0002149,0.0002149,0.0002149
37,14.4729,0,67.9116,0,0,0,0,0,0,71.5,0,0.000206784,0.000206784,0.000206784
38,14.8688,0,67.0416,0,0,0,0,0,0,71.5,0,0.000197876,0.000197876,0.000197876
39,15.274,0,67.094,0,0,0,0,0,0,71.5,0,0.000188176,0.000188176,0.000188176
40,15.6856,0,66.5726,0,0,0,0,0,0,71.5,0,0.000177684,0.000177684,0.000177684
41,16.9698,0,65.8414,0,0,0,0,0,0,71.8125,0,0.0001664,0.0001664,0.0001664
