epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.36692,0,90.9123,0,0,0,0,0,0,72.375,0,0,0,0
2,0.748206,0,91.0326,0,0,0,0,0,0,72.375,0,1.9604e-05,1.9604e-05,1.9604e-05
3,1.13306,0,90.7347,0,0,0,0,0,0,72.375,0,3.8416e-05,3.8416e-05,3.8416e-05
4,1.50317,0,90.7241,0,0,0,0,0,0,72.375,0,5.6436e-05,5.6436e-05,5.6436e-05
5,1.86323,0,90.8933,0,0,0,0,0,0,72.375,0,7.3664e-05,7.3664e-05,7.3664e-05
6,2.22888,0,90.882,0,0,0,0,0,0,72.375,0,9.01e-05,9.01e-05,9.01e-05
7,2.58685,0,90.8607,0,0,0,0,0,0,72.375,0,0.000105744,0.000105744,0.000105744
8,2.93952,0,91.0001,0,0,0,0,0,0,72.375,0,0.000120596,0.000120596,0.000120596
9,3.30042,0,90.9262,0,0,0,0,0,0,72.375,0,0.000134656,0.000134656,0.000134656
10,3.68831,0,90.9658,0,0,0,0,0,0,72.375,0,0.000147924,0.000147924,0.000147924
11,4.11745,0,88.7228,0,0,0,0,0,0,72.375,0,0.0001604,0.0001604,0.0001604
12,4.55259,0,87.7602,0,0,0,0,0,0,72.375,0,0.000172084,0.000172084,0.000172084
13,4.98439,0,86.794,0,0,0,0,0,0,72.375,0,0.000182976,0.000182976,0.000182976
14,5.42352,0,85.7638,0,0,0,0,0,0,72.375,0,0.000193076,0.000193076,0.000193076
15,5.85383,0,84.5886,0,0,0,0,0,0,72.375,0,0.000202384,0.000202384,0.000202384
16,6.28295,0,83.3879,0,0,0,0,0,0,72.375,0,0.0002109,0.0002109,0.0002109
17,6.71037,0,82.0753,0,0,0,0,0,0,72.375,0,0.000218624,0.000218624,0.000218624
18,7.12496,0,80.4814,0,0,0,0,0,0,72.375,0,0.000225556,0.000225556,0.000225556
19,7.55595,0,80.5246,0,0,0,0,0,0,72.5,0,0.000231696,0.000231696,0.000231696
20,7.97324,0,79.1534,0,0,0,0,0,0,72.5,0,0.000237044,0.000237044,0.000237044
21,8.41576,0,79.1814,0,0,0,0,0,0,72.8125,0,0.0002416,0.0002416,0.0002416
22,8.83554,0,77.4299,0,0,0,0,0,0,72.8125,0,0.000245364,0.000245364,0.000245364
23,9.27142,0,77.5324,0,0,0,0,0,0,73,0,0.000248336,0.000248336,0.000248336
24,9.69217,0,75.7142,0,0,0,0,0,0,73,0,0.000250516,0.000250516,0.000250516
25,10.1277,0,75.8355,0,0,0,0,0,0,72.6875,0,0.000251904,0.000251904,0.000251904
26,10.5509,0,74.2234,0,0,0,0,0,0,72.6875,0,0.0002525,0.0002525,0.0002525
27,10.9879,0,74.5314,0,0,0,0,0,0,72.6875,0,0.000252304,0.000252304,0.000252304
28,11.4068,0,72.7102,0,0,0,0,0,0,72.6875,0,0.000251316,0.000251316,0.000251316
29,11.841,0,72.8944,0,0,0,0,0,0,72.8125,0,0.000249536,0.000249536,0.000249536
30,12.2558,0,71.3617,0,0,0,0,0,0,72.8125,0,0.000246964,0.000246964,0.000246964
31,12.6897,0,71.5091,0,0,0,0,0,0,73.3125,0,0.0002436,0.0002436,0.0002436
32,13.1071,0,70.273,0,0,0,0,0,0,73.3125,0,0.000239444,0.000239444,0.000239444
33,13.5425,0,70.1672,0,0,0,0,0,0,72.75,0,0.000234496,0.000234496,0.000234496
34,13.9661,0,68.8953,0,0,0,0,0,0,72.75,0,0.000228756,0.000228756,0.000228756
35,14.4096,0,68.9988,0,0,0,0,0,0,71.8125,0,0.000222224,0.000222224,0.000222224
36,14.8278,0,69.6156,0,0,0,0,0,0,71.8125,0,0.0002149,0.0002149,0.0002149
37,15.2676,0,67.9116,0,0,0,0,0,0,71.5,0,0.000206784,0.000206784,0.000206784
38,15.6811,0,67.0416,0,0,0,0,0,0,71.5,0,0.000197876,0.000197876,0.000197876
39,16.1208,0,67.094,0,0,0,0,0,0,71.5,0,0.000188176,0.000188176,0.000188176
40,16.5363,0,66.5726,0,0,0,0,0,0,71.5,0,0.000177684,0.000177684,0.000177684
41,17.9134,0,65.8414,0,0,0,0,0,0,71.8125,0,0.0001664,0.0001664,0.0001664
42,18.4092,0,65.3999,0,0,0,0,0,0,71.8125,0,0.000154324,0.000154324,0.000154324
43,18.8708,0,65.2843,0,0,0,0,0,0,71.9375,0,0.000141456,0.000141456,0.000141456
44,19.2956,0,64.9676,0,0,0,0,0,0,71.9375,0,0.000127796,0.000127796,0.000127796
45,19.7357,0,64.7482,0,0,0,0,0,0,71.9375,0,0.000113344,0.000113344,0.000113344
46,20.1656,0,64.4658,0,0,0,0,0,0,71.9375,0,9.81e-05,9.81e-05,9.81e-05
47,20.5996,0,64.4292,0,0,0,0,0,0,71.875,0,8.2064e-05,8.2064e-05,8.2064e-05
48,21.0135,0,63.689,0,0,0,0,0,0,71.875,0,6.5236e-05,6.5236e-05,6.5236e-05
49,21.4504,0,64.0151,0,0,0,0,0,0,71.75,0,4.7616e-05,4.7616e-05,4.7616e-05
50,21.8664,0,63.7909,0,0,0,0,0,0,71.75,0,2.9204e-05,2.9204e-05,2.9204e-05
