epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.69265,2.92555,7.3202,1.59782,0,0,0,0,2.7226,7.16041,1.82999,0.00084,0.00084,0.00084
2,4.60305,2.94579,7.45822,1.53793,0.00023,0.02174,0.00013,5e-05,2.95448,7.36768,1.79188,0.00169663,0.00169663,0.00169663
3,6.53001,2.72921,7.14186,1.47906,0.00023,0.02174,0.00013,5e-05,3.12851,7.17121,1.733,0.00199208,0.00199208,0.00199208
4,8.41062,3.08793,6.76813,1.6864,0.00023,0.02174,0.00013,5e-05,3.12851,7.17121,1.733,0.00198812,0.00198812,0.00198812
5,10.272,3.09295,7.31926,1.9464,0.00023,0.02174,0.00013,5e-05,3.1933,7.58506,1.77717,0.00198416,0.00198416,0.00198416
6,12.1355,3.1466,7.12552,1.76707,0.00023,0.02174,0.00013,4e-05,3.0327,7.01468,1.68942,0.0019802,0.0019802,0.0019802
7,13.9451,2.15858,7.51629,1.2645,0.00023,0.02174,0.00013,4e-05,3.0327,7.01468,1.68942,0.00197624,0.00197624,0.00197624
8,15.7447,3.01335,7.66449,1.65278,0.00023,0.02174,0.00013,4e-05,2.99245,7.50626,1.70256,0.00197228,0.00197228,0.00197228
9,17.5622,2.34299,7.23497,1.30142,0.00023,0.02174,0.00013,4e-05,3.18444,7.3451,1.82575,0.00196832,0.00196832,0.00196832
10,19.3972,2.5797,7.00335,1.56204,0.00023,0.02174,0.00013,4e-05,3.18444,7.3451,1.82575,0.00196436,0.00196436,0.00196436
11,21.2932,3.07956,7.49676,1.58822,0.00047,0.04348,0.00025,0.00012,3.23452,11.781,2.23333,0.0019604,0.0019604,0.0019604
12,23.302,2.82937,6.29555,1.31977,0.07439,0.06522,0.02464,0.00663,3.4256,11.8117,1.88795,0.00195644,0.00195644,0.00195644
13,25.2653,2.78402,5.79404,1.23196,0.07439,0.06522,0.02464,0.00663,3.4256,11.8117,1.88795,0.00195248,0.00195248,0.00195248
14,27.1757,2.73828,6.20758,1.29371,0.48707,0.06522,0.06226,0.00939,3.27048,6.90015,1.79959,0.00194852,0.00194852,0.00194852
15,29.1047,2.7401,5.94003,1.28419,0.00057,0.02899,0.00201,0.00032,3.35021,6.88229,1.93869,0.00194456,0.00194456,0.00194456
16,31.0381,2.95725,5.9467,1.46874,0.00057,0.02899,0.00201,0.00032,3.35021,6.88229,1.93869,0.0019406,0.0019406,0.0019406
