epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.04041,0,8.04362,0,0,0,0,0,0,9.66406,0,0.00022,0.00022,0.00022
2,1.79499,0,8.00919,0,0,0,0,0,0,9.66536,0,0.000450892,0.000450892,0.000450892
3,2.58641,0,7.86287,0,0,0,0,0,0,9.66536,0,0.00067228,0.00067228,0.00067228
4,3.39158,0,7.87349,0,0,0,0,0,0,9.66536,0,0.000884164,0.000884164,0.000884164
5,4.19487,0,7.8743,0,0,0,0,0,0,9.85417,0,0.00108654,0.00108654,0.00108654
6,4.98274,0,7.8607,0,0,0,0,0,0,9.85417,0,0.00127942,0.00127942,0.00127942
7,5.78057,0,7.87239,0,0,0,0,0,0,9.85417,0,0.00146279,0.00146279,0.00146279
8,6.56289,0,7.86516,0,0,0,0,0,0,9.85417,0,0.00163666,0.00163666,0.00163666
