epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.07981,0,8.04362,0,0,0,0,0,0,9.66406,0,0.00022,0.00022,0.00022
2,1.83185,0,8.00919,0,0,0,0,0,0,9.66536,0,0.000450892,0.000450892,0.000450892
3,2.62235,0,7.86287,0,0,0,0,0,0,9.66536,0,0.00067228,0.00067228,0.00067228
4,3.40221,0,7.87349,0,0,0,0,0,0,9.66536,0,0.000884164,0.000884164,0.000884164
5,4.1925,0,7.8743,0,0,0,0,0,0,9.85417,0,0.00108654,0.00108654,0.00108654
6,4.97794,0,7.8607,0,0,0,0,0,0,9.85417,0,0.00127942,0.00127942,0.00127942
7,5.76004,0,7.87239,0,0,0,0,0,0,9.85417,0,0.00146279,0.00146279,0.00146279
8,6.57024,0,7.86516,0,0,0,0,0,0,9.85417,0,0.00163666,0.00163666,0.00163666
9,7.34628,0,7.86624,0,0,0,0,0,0,9.85417,0,0.0016832,0.0016832,0.0016832
10,8.11575,0,7.85433,0,0,0,0,0,0,9.85417,0,0.0016436,0.0016436,0.0016436
11,8.90962,0,7.60626,0,0,0,0,0,0,9.51823,0,0.001604,0.001604,0.001604
12,9.69693,0,7.48157,0,0,0,0,0,0,9.51823,0,0.0015644,0.0015644,0.0015644
13,10.4572,0,7.47408,0,0,0,0,0,0,9.51823,0,0.0015248,0.0015248,0.0015248
14,11.2264,0,7.47264,0,0,0,0,0,0,9.51823,0,0.0014852,0.0014852,0.0014852
15,11.9964,0,7.47022,0,0,0,0,0,0,9.51823,0,0.0014456,0.0014456,0.0014456
