epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.07184,0,8.04362,0,0,0,0,0,0,9.66406,0,0.00022,0.00022,0.00022
2,1.84601,0,8.00919,0,0,0,0,0,0,9.66536,0,0.000450892,0.000450892,0.000450892
3,2.64398,0,7.86287,0,0,0,0,0,0,9.66536,0,0.00067228,0.00067228,0.00067228
4,3.42062,0,7.87349,0,0,0,0,0,0,9.66536,0,0.000884164,0.000884164,0.000884164
5,4.21789,0,7.8743,0,0,0,0,0,0,9.85417,0,0.00108654,0.00108654,0.00108654
6,4.98319,0,7.8607,0,0,0,0,0,0,9.85417,0,0.00127942,0.00127942,0.00127942
7,5.77218,0,7.87239,0,0,0,0,0,0,9.85417,0,0.00146279,0.00146279,0.00146279
8,6.55699,0,7.86516,0,0,0,0,0,0,9.85417,0,0.00163666,0.00163666,0.00163666
9,7.35214,0,7.86624,0,0,0,0,0,0,9.85417,0,0.0016832,0.0016832,0.0016832
10,8.13548,0,7.85433,0,0,0,0,0,0,9.85417,0,0.0016436,0.0016436,0.0016436
11,8.93313,0,7.60626,0,0,0,0,0,0,9.51823,0,0.001604,0.001604,0.001604
12,9.72179,0,7.48157,0,0,0,0,0,0,9.51823,0,0.0015644,0.0015644,0.0015644
13,10.4974,0,7.47408,0,0,0,0,0,0,9.51823,0,0.0015248,0.0015248,0.0015248
14,11.2765,0,7.47264,0,0,0,0,0,0,9.51823,0,0.0014852,0.0014852,0.0014852
15,12.054,0,7.47022,0,0,0,0,0,0,9.51823,0,0.0014456,0.0014456,0.0014456
16,12.8539,0,7.35473,0,0,0,0,0,0,9.00065,0,0.001406,0.001406,0.001406
17,13.6234,0,7.12191,0,0,0,0,0,0,9.00065,0,0.0013664,0.0013664,0.0013664
18,14.3881,0,7.13935,0,0,0,0,0,0,9.00065,0,0.0013268,0.0013268,0.0013268
19,15.1609,0,7.12003,0,0,0,0,0,0,9.00065,0,0.0012872,0.0012872,0.0012872
20,15.9521,0,7.1189,0,0,0,0,0,0,9.00065,0,0.0012476,0.0012476,0.0012476
21,16.7563,0,7.12234,0,0,0,0,0,0,7.97266,0,0.001208,0.001208,0.001208
22,17.5395,0,6.80713,0,0,0,0,0,0,7.97266,0,0.0011684,0.0011684,0.0011684
23,18.338,0,6.79965,0,0,0,0,0,0,7.97266,0,0.0011288,0.0011288,0.0011288
24,19.1336,0,6.80923,0,0,0,0,0,0,7.97266,0,0.0010892,0.0010892,0.0010892
25,19.9139,0,6.80488,0,0,0,0,0,0,7.97266,0,0.0010496,0.0010496,0.0010496
26,20.7045,0,6.80711,0,0,0,0,0,0,7.97266,0,0.00101,0.00101,0.00101
27,21.4955,0,6.65245,0,0,0,0,0,0,7.77734,0,0.0009704,0.0009704,0.0009704
28,22.2845,0,6.56765,0,0,0,0,0,0,7.77734,0,0.0009308,0.0009308,0.0009308
29,23.0621,0,6.56771,0,0,0,0,0,0,7.77734,0,0.0008912,0.0008912,0.0008912
30,23.8343,0,6.5447,0,0,0,0,0,0,7.77734,0,0.0008516,0.0008516,0.0008516
31,24.6128,0,6.55589,0,0,0,0,0,0,7.77734,0,0.000812,0.000812,0.000812
32,25.393,0,6.49303,0,0,0,0,0,0,7.90039,0,0.0007724,0.0007724,0.0007724
33,26.167,0,6.34799,0,0,0,0,0,0,7.90039,0,0.0007328,0.0007328,0.0007328
34,26.9537,0,6.35716,0,0,0,0,0,0,7.90039,0,0.0006932,0.0006932,0.0006932
35,27.7604,0,6.34593,0,0,0,0,0,0,7.90039,0,0.0006536,0.0006536,0.0006536
36,28.5398,0,6.36137,0,0,0,0,0,0,7.90039,0,0.000614,0.000614,0.000614
37,29.3318,0,6.3491,0,0,0,0,0,0,8.35417,0,0.0005744,0.0005744,0.0005744
38,30.1122,0,6.2122,0,0,0,0,0,0,8.35417,0,0.0005348,0.0005348,0.0005348
39,30.8959,0,6.23161,0,0,0,0,0,0,8.35417,0,0.0004952,0.0004952,0.0004952
40,31.6681,0,6.24832,0,0,0,0,0,0,8.35417,0,0.0004556,0.0004556,0.0004556
41,32.5344,0,6.19668,0,0,0,0,0,0,8.35417,0,0.000416,0.000416,0.000416
42,33.3457,0,6.19408,0,0,0,0,0,0,8.35417,0,0.0003764,0.0003764,0.0003764
43,34.1559,0,6.14822,0,0,0,0,0,0,8.38672,0,0.0003368,0.0003368,0.0003368
44,34.9448,0,6.12443,0,0,0,0,0,0,8.38672,0,0.0002972,0.0002972,0.0002972
45,35.7366,0,6.10736,0,0,0,0,0,0,8.38672,0,0.0002576,0.0002576,0.0002576
46,36.5252,0,6.10863,0,0,0,0,0,0,8.38672,0,0.000218,0.000218,0.000218
47,37.3377,0,6.12398,0,0,0,0,0,0,8.38672,0,0.0001784,0.0001784,0.0001784
48,38.1297,0,6.10231,0,0,0,0,0,0,8.63672,0,0.0001388,0.0001388,0.0001388
49,38.9016,0,6.08108,0,0,0,0,0,0,8.63672,0,9.92e-05,9.92e-05,9.92e-05
50,39.6893,0,6.07926,0,0,0,0,0,0,8.63672,0,5.96e-05,5.96e-05,5.96e-05
